,,,,,,,,,,,
Real GDP,,,,,,,,,,,
,,,,,,,,,,,
,Baseline growth (%),,,Growth rate deviations                  (percentage points),,,Adverse growth (%),,,Adverse cumulative growth (%),Level deviation 2020 (%)
,2018,2019,2020,2018,2019,2020,2018,2019,2020,,
Belgium,1.7,1.6,1.4,-3.2,-4.4,-1.6,-1.5,-2.8,-0.2,-4.5,-8.8
Bulgaria,3.6,3.6,3.8,-6.2,-4.4,-0.5,-2.7,-0.8,3.3,-0.2,-10.4
Czech Republic,3.4,3.1,3.1,-4.7,-6.2,-1.8,-1.2,-3.1,1.3,-3.1,-11.9
Denmark,1.8,1.7,1.7,-4.0,-4.9,-0.4,-2.2,-3.2,1.3,-4.1,-9.0
Germany,2.5,1.7,1.5,-4.4,-4.5,-0.2,-1.9,-2.8,1.4,-3.3,-8.6
Estonia,4.2,3.1,2.7,-4.7,-4.1,-2.4,-0.5,-1.0,0.3,-1.2,-10.4
Ireland,4.3,4.0,3.4,-4.7,-5.0,-2.2,-0.4,-1.0,1.3,-0.2,-11.0
Greece,2.4,2.5,2.4,-3.7,-4.6,-2.2,-1.3,-2.1,0.2,-3.3,-10.0
Spain,2.4,2.1,2.1,-2.7,-3.6,-1.0,-0.3,-1.5,1.1,-0.8,-7.0
France,1.7,1.8,1.6,-1.8,-3.2,-1.7,0.0,-1.4,-0.1,-1.5,-6.4
Croatia,3.1,3.0,3.0,-5.0,-4.2,-0.1,-1.9,-1.1,2.9,-0.2,-8.8
Italy,1.4,1.3,1.3,-2.0,-2.8,-1.9,-0.6,-1.5,-0.6,-2.7,-6.5
Cyprus,3.4,3.2,3.1,-3.1,-4.0,-2.8,0.3,-0.8,0.3,-0.2,-9.3
Latvia,4.1,3.2,3.0,-4.3,-4.3,-1.9,-0.2,-1.1,1.1,-0.2,-9.8
Lithuania,2.8,2.7,2.5,-4.3,-4.8,0.0,-1.5,-2.1,2.5,-1.1,-8.7
Luxembourg,3.7,3.6,3.5,-6.4,-5.2,-0.2,-2.7,-1.6,3.3,-1.0,-11.0
Hungary,3.7,3.2,3.2,-3.7,-5.3,-1.3,0.0,-2.1,1.9,-0.2,-9.7
Malta,5.6,4.5,4.0,-6.5,-6.7,-0.9,-0.9,-2.2,3.0,-0.2,-12.9
Netherlands,3.1,2.3,1.9,-3.2,-4.5,-1.7,-0.1,-2.2,0.2,-2.1,-8.9
Austria,2.8,1.9,1.6,-3.9,-4.4,-0.7,-1.2,-2.5,0.9,-2.7,-8.6
Poland,3.6,3.2,3.0,-2.5,-4.5,-3.0,1.1,-1.3,0.0,-0.2,-9.4
Portugal,2.3,1.9,1.7,-3.4,-4.9,-1.9,-1.1,-3.0,-0.2,-4.3,-9.7
Romania,4.4,3.4,2.7,-4.7,-5.0,-1.9,-0.3,-1.6,0.8,-1.0,-10.7
Slovenia,4.2,3.6,3.4,-4.9,-5.3,-1.2,-0.7,-1.7,2.2,-0.2,-10.5
Slovakia,4.3,4.7,3.8,-4.8,-6.2,-2.1,-0.5,-1.5,1.7,-0.4,-12.1
Finland,2.6,1.5,1.4,-3.4,-4.1,-1.3,-0.8,-2.6,0.1,-3.3,-8.4
Sweden,2.7,2.0,1.7,-5.8,-8.0,-3.3,-3.1,-6.0,-1.7,-10.4,-15.9
United Kingdom,1.6,1.7,1.7,-4.5,-3.9,0.1,-2.8,-2.2,1.8,-3.3,-8.0
Euro area,2.3,1.9,1.7,-3.1,-3.9,-1.2,-0.9,-2.0,0.5,-2.4,-7.8
European Union,2.2,1.9,1.8,-3.5,-4.1,-1.1,-1.2,-2.2,0.7,-2.7,-8.3
Norway,2.3,2.2,1.9,-3.4,-3.2,-1.1,-1.1,-1.0,0.8,-1.4,-7.4
United States,2.3,1.9,1.8,-2.7,-2.5,1.3,-0.3,-0.6,3.1,2.2,-3.8
Japan,0.7,0.8,0.2,-1.8,-1.2,0.3,-1.1,-0.4,0.5,-1.0,-2.6
Canada,2.1,1.7,1.7,-1.8,-2.1,0.9,0.3,-0.5,2.6,2.4,-3.0
Switzerland,1.3,1.6,1.7,-1.5,-1.3,0.2,-0.1,0.3,1.9,2.1,-2.5
Australia & New Zealand,2.9,2.9,2.8,-1.4,-1.4,-0.7,1.6,1.5,2.1,5.2,-3.4
Turkey,3.5,3.5,3.5,-4.3,-1.6,0.0,-0.8,1.9,3.5,4.6,-5.6
Russia,1.6,1.5,1.5,-3.5,-1.9,0.6,-1.9,-0.4,2.1,-0.2,-4.7
Emerging Asia,6.5,6.5,6.5,-3.3,-1.6,0.3,3.1,4.8,6.8,15.5,-4.3
   China,6.5,6.3,6.2,-2.8,-1.6,0.4,3.7,4.7,6.6,15.7,-3.8
   India,7.4,7.8,7.9,-3.8,-2.1,-0.1,3.6,5.7,7.8,18.0,-5.6
Latin America,1.9,2.4,2.6,-3.0,-1.6,1.2,-1.1,0.8,3.8,3.5,-3.4
   Brazil,1.5,2.0,2.0,-3.3,-1.6,1.5,-1.8,0.4,3.5,2.0,-3.4
   Mexico,1.9,2.3,2.7,-2.6,-2.0,1.2,-0.8,0.4,3.9,3.5,-3.3
   Chile,2.5,2.7,2.9,-3.0,-1.5,0.9,-0.5,1.3,3.8,4.6,-3.5
Rest of the World,3.5,3.4,3.5,-3.2,-1.9,0.1,0.2,1.5,3.6,5.4,-4.8
,,,,,,,,,,,
Note: The table reports annual averages.,,,,,,,,,,,
